material_id,formula_pretty,formula_anonymous,band_gap,energy_above_hull,density,volume,nsites,nelements,elements,crystal_system,spacegroup_symbol,spacegroup_number,status,error
mp-2715273,Na9Ca2Nb4Si6(PO12)3,A2B3C4D6E9F36,1.9659,0.06315202445833279,3.014566169171607,4944.663804500382,360,6,"Ca,Na,Nb,O,P,Si",Triclinic,P1,1,ok,
mp-2715274,Na9CaNb5(SiO4)9,AB5C9D9E36,2.1444,0.04795715523611044,3.121914166170141,4915.583083235671,360,5,"Ca,Na,Nb,O,Si",Triclinic,P1,1,ok,
mp-2715275,Na6YTa3(SiO4)6,AB3C6D6E24,3.7813,0.026866663812500136,4.041000433872144,1086.6332321001355,80,5,"Na,O,Si,Ta,Y",Triclinic,P1,1,ok,
mp-2715276,Na6La3TaSi2(PO6)4,AB2C3D4E6F24,3.2333999999999996,0.09557065108333518,3.5326987390397546,1832.701276196599,120,6,"La,Na,O,P,Si,Ta",Triclinic,P1,1,ok,
mp-2715277,Na6Zr3ZnSi2(PO6)4,AB2C3D4E6F24,3.7194000000000003,0.03218173747916353,3.158364316354462,1642.0583571555321,120,6,"Na,O,P,Si,Zn,Zr",Triclinic,P1,1,ok,
mp-2715278,Na6TaIn3Si2(PO6)4,AB2C3D4E6F24,1.0192,0.04066690360416825,3.7708362839865384,1621.49649624517,120,6,"In,Na,O,P,Si,Ta",Triclinic,P1,1,ok,
mp-2715279,Na3LaGa(PO4)3,ABC3D3E12,3.1696,0.08967629549999856,3.3603831140707783,1667.7972033476653,120,5,"Ga,La,Na,O,P",Triclinic,P1,1,ok,
mp-2715280,Na6Y3TaSi2(PO6)4,AB2C3D4E6F24,3.5845,0.0441481376458297,3.3673176067248654,1133.8688048608221,80,6,"Na,O,P,Si,Ta,Y",Triclinic,P1,1,ok,
mp-2715281,Na3ScTaSi2PO12,ABCD2E3F12,3.2044000000000006,0.05462745913332956,3.5519538995964224,1610.1005084614071,120,6,"Na,O,P,Sc,Si,Ta",Monoclinic,Cc,9,ok,
mp-2715282,Na3TaSi3SnO12,ABC3D3E12,3.714,0.017139852833332192,4.038948583316053,1060.5162017755135,80,5,"Na,O,Si,Sn,Ta",Monoclinic,Cc,9,ok,
mp-2715283,Na6Nb3Ga(SiO4)6,AB3C6D6E24,2.6135,0.045117268895829454,3.2502999130244183,1592.2528420423791,120,5,"Ga,Na,Nb,O,Si",Triclinic,P1,1,ok,
mp-2715284,Na3TaGaSi2PO12,ABCD2E3F12,3.3489999999999998,0.06535436295833197,3.865147011571032,1543.4763711176681,120,6,"Ga,Na,O,P,Si,Ta",Monoclinic,Cc,9,ok,
mp-2715285,Na3ScSiGe(PO6)2,ABCD2E3F12,2.2851999999999997,0.09401112418333035,3.1164989484968184,1498.0535822435597,120,6,"Ge,Na,O,P,Sc,Si",Monoclinic,Cc,9,ok,
mp-2715286,Na6Nb3Al(SiO4)6,AB3C6D6E24,2.6276,0.047024531020833926,3.167021650340622,1566.8909853891282,120,5,"Al,Na,Nb,O,Si",Triclinic,P1,1,ok,
mp-2715287,Na3HfTa(SiO4)3,ABC3D3E12,3.7876,0.008801571416665155,4.311400720538278,1628.393699503092,120,5,"Hf,Na,O,Si,Ta",Monoclinic,Cc,9,ok,
mp-2715288,Na3ScIn(PO4)3,ABC3D3E12,3.8697999999999997,0.018236748958333493,3.1442890016991685,1627.613792350342,120,5,"In,Na,O,P,Sc",Triclinic,P1,1,ok,
mp-2715289,Na3YIn(PO4)3,ABC3D3E12,3.6227,0.021665332666668924,3.3004944324228287,1683.2543713689852,120,5,"In,Na,O,P,Y",Triclinic,P1,1,ok,
mp-2715290,Na9CaNb5(SiO4)9,AB5C9D9E36,2.4646999999999997,0.0493477944722196,3.141772052592644,3256.342430460741,240,5,"Ca,Na,Nb,O,Si",Triclinic,P1,1,ok,
mp-2715291,Na3CaNbSi(PO6)2,ABCD2E3F12,1.7041,0.10403181393958327,2.8829920470638046,1672.5683765634678,120,6,"Ca,Na,Nb,O,P,Si",Monoclinic,Cc,9,ok,
mp-2715292,Na3AlSiSn(PO6)2,ABCD2E3F12,3.2664000000000004,0.05746848494444201,3.3500724445929078,984.7758637083871,80,6,"Al,Na,O,P,Si,Sn",Monoclinic,Cc,9,ok,
mp-2715293,Na3LaIn(PO4)3,ABC3D3E12,3.4410999999999996,0.062100074166669295,3.4467927077431773,1170.8913433449825,80,5,"In,La,Na,O,P",Triclinic,P1,1,ok,
mp-2715294,Na6La3NbSi2(PO6)4,AB2C3D4E6F24,2.4475000000000002,0.09314510114583463,3.3060965680233823,1825.6552136212817,120,6,"La,Na,Nb,O,P,Si",Triclinic,P1,1,ok,
mp-2715295,Na3YSiGe(PO6)2,ABCD2E3F12,2.332,0.13106226158333634,3.1288500855677475,1088.06021572427,80,6,"Ge,Na,O,P,Si,Y",Monoclinic,Cc,9,ok,
